Dataset,Ha,pHa,La,LotShapeA,LotNumA,Hb,pHb,Lb,LotShapeB,LotNumB,Amb,Corr,B.1,B.2,B.3,B.4,B.5,Train_Test
CPC18,3,1,3,-,1,4,0.8,0,-,1,0,0,0.4224,0.5712,0.568,0.5952,0.6496,Train
CPC18,3,0.25,0,-,1,4,0.2,0,-,1,0,0,0.6128,0.616,0.6208,0.6384,0.616,Train
CPC18,-1,1,-1,-,1,0,0.5,-2,-,1,0,0,0.5792,0.6032,0.5984,0.5776,0.5632,Train
CPC18,1,1,1,-,1,2,0.5,0,-,1,0,0,0.3536,0.5072,0.536,0.496,0.5392,Train
CPC18,-3,1,-3,-,1,0,0.2,-4,-,1,0,0,0.4928,0.464,0.416,0.3824,0.3568,Train
CPC18,0,0.75,-3,-,1,0,0.8,-4,-,1,0,0,0.3824,0.4016,0.3968,0.424,0.4064,Train
CPC18,-1,1,-1,-,1,0,0.95,-20,-,1,0,0,0.4784,0.6288,0.6192,0.6224,0.6384,Train
CPC18,1,1,1,-,1,20,0.05,0,-,1,0,0,0.3872,0.3824,0.328,0.336,0.2896,Train
CPC18,1,1,1,-,1,100,0.01,0,-,1,0,0,0.4656,0.3984,0.3888,0.3904,0.3856,Train
CPC18,2,1,2,-,1,101,0.01,1,-,1,0,0,0.5456,0.4544,0.4336,0.424,0.416,Train
CPC18,19,1,19,-,1,20,0.9,-20,-,1,0,0,0.1328,0.2192,0.208,0.1968,0.2064,Train
CPC18,0,1,0,-,1,50,0.5,-50,-,1,0,0,0.3376,0.4128,0.4304,0.4352,0.3808,Train
CPC18,0,1,0,-,1,50,0.5,-50,-,1,0,0,0.3616,0.3696,0.4,0.3712,0.36,Train
CPC18,0,1,0,-,1,1,0.5,-1,-,1,0,0,0.4912,0.4512,0.4208,0.4064,0.376,Train
CPC18,7,1,7,-,1,50,0.5,1,-,1,0,0,0.7824,0.8432,0.8784,0.8288,0.8464,Train
CPC18,7,1,7,-,1,50,0.5,-1,-,1,0,0,0.7072,0.7904,0.8128,0.832,0.8304,Train
CPC18,30,1,30,-,1,50,0.5,1,-,1,0,0,0.2384,0.3296,0.3248,0.304,0.2896,Train
CPC18,30,1,30,-,1,50,0.5,-1,-,1,0,0,0.232,0.328,0.4032,0.3328,0.3328,Train
CPC18,9,1,9,-,1,9,1,9,R-skew,8,0,0,0.3648,0.3872,0.3568,0.3088,0.2976,Train
CPC18,9,1,9,-,1,9,1,9,R-skew,8,0,0,0.376,0.376,0.392,0.3632,0.3616,Train
CPC18,10,0.5,0,-,1,10,0.5,0,-,1,1,0,0.3728,0.416,0.4704,0.48,0.5072,Train
CPC18,10,0.1,0,-,1,10,0.1,0,-,1,1,0,0.8208,0.8384,0.7824,0.7072,0.6592,Train
CPC18,10,0.9,0,-,1,10,0.9,0,-,1,1,0,0.1456,0.1616,0.2576,0.3248,0.3184,Train
CPC18,-2,1,-2,-,1,-1,0.5,-3,-,1,0,0,0.4816,0.52,0.4784,0.4784,0.4496,Train
CPC18,2,1,2,-,1,3,0.5,1,-,1,0,0,0.4064,0.5008,0.4592,0.4624,0.4944,Train
CPC18,16,1,16,-,1,50,0.4,1,-,1,0,0,0.4992,0.6528,0.6112,0.5968,0.5456,Train
CPC18,16,1,16,-,1,48,0.4,1,L-skew,3,0,0,0.504,0.568,0.6,0.5776,0.5728,Train
CPC18,6,0.5,0,-,1,9,0.5,0,-,1,0,-1,0.9088,0.8656,0.8256,0.8464,0.8432,Train
CPC18,2,1,2,-,1,3,1,3,-,1,0,0,0.9664,0.9824,0.9904,0.9888,0.9952,Train
CPC18,6,0.5,0,-,1,8,0.5,0,-,1,0,1,0.9424,0.9648,0.9632,0.976,0.9792,Train
CPC18,4,1,4,-,1,40,0.6,-44,-,1,1,0,0.232098765,0.308641975,0.343209877,0.407407407,0.365432099,Train
CPC18,24,0.75,-4,-,1,82,0.25,3,-,1,0,0,0.681481481,0.683950617,0.674074074,0.669135802,0.686419753,Train
CPC18,-3,1,-3,-,1,14,0.4,-22,-,1,0,0,0.325925926,0.279012346,0.30617284,0.24691358,0.219753086,Train
